row_id,Class,age,sex,finaledu_int,542970_00,542980_00,542990_00
1,3,42,0,16,19,20,17
2,3,34,1,12,30,11,21
3,3,40,0,16,19,20,22
4,2,56,0,12,8,12,19
5,3,27,0,12,17,15,10
6,2,29,0,12,17,14,7
7,2,53,0,12,13,20,22
8,2,29,1,12,12,5,20
9,3,41,1,12,18,18,22
10,1,31,1,12,10,11,14
11,2,39,0,16,23,11,20
12,2,36,0,16,15,17,2
13,1,54,1,12,15,12,16
14,2,59,1,12,18,15,13
15,3,49,0,12,19,8,21
16,1,34,1,12,2,23,9
17,3,43,0,12,17,19,24
18,3,42,0,12,18,23,18
19,1,26,1,16,10,11,13
20,1,48,0,12,17,15,8
21,1,34,0,16,21,14,5
22,1,42,0,12,18,9,16
23,3,45,1,16,19,22,24
24,2,57,0,16,6,10,24
25,3,51,1,16,18,24,20
26,2,26,0,16,15,13,21
27,1,46,1,16,14,22,20
28,2,24,1,12,20,7,14
29,3,25,1,16,23,18,13
30,2,35,1,12,8,19,14
31,1,43,0,12,14,13,9
32,3,51,0,12,18,17,21
33,3,40,0,12,21,15,29
34,1,30,1,12,10,11,8
35,3,55,0,12,22,20,22
36,2,38,0,12,15,6,14
37,1,44,1,12,2,10,10
38,3,58,0,12,24,21,22
39,1,45,0,16,12,11,17
40,1,28,1,16,9,5,11
41,2,26,0,12,16,17,19
42,3,53,1,12,21,27,24
43,3,32,1,12,21,22,25
44,1,38,1,16,18,4,7
45,3,58,0,16,19,18,28
46,1,23,0,12,11,12,8
47,3,20,0,16,26,17,19
48,2,59,0,12,20,4,22
49,1,49,1,16,16,14,16
50,2,49,0,12,12,11,10
51,1,44,0,16,20,7,6
52,1,35,0,12,10,18,3
53,3,43,0,12,29,16,21
54,1,30,1,12,3,14,11
55,2,39,1,16,15,9,17
56,1,59,0,16,16,8,13
57,1,22,1,12,6,10,7
58,3,48,0,16,16,14,15
59,1,55,0,16,5,7,15
60,2,41,0,16,10,15,19
61,1,39,1,16,8,13,2
62,3,30,0,16,22,12,20
63,1,27,0,16,0,8,6
64,3,40,0,12,21,24,10
65,2,21,1,16,21,12,16
66,3,32,0,16,30,21,20
67,2,25,0,16,22,17,15
68,2,27,1,12,19,16,16
69,3,51,0,16,11,23,24
70,2,55,0,16,12,14,16
71,2,33,0,12,13,13,12
72,3,35,1,16,24,7,16
73,3,42,1,16,19,20,19
74,1,52,0,12,4,12,12
75,2,59,0,16,23,18,10
76,2,59,0,12,20,12,14
77,1,29,1,12,11,19,15
78,2,44,0,16,21,16,14
79,1,27,1,16,3,11,7
80,1,37,0,12,13,16,9
81,2,28,1,16,12,11,21
82,3,26,0,12,23,18,23
83,3,26,0,12,20,32,26
84,1,29,0,12,13,10,11
85,2,43,1,16,22,23,17
86,1,42,1,16,10,3,7
87,2,45,0,12,20,14,18
88,1,52,0,12,4,12,7
89,3,48,1,12,16,22,13
90,3,29,0,12,28,15,21
91,2,32,0,16,17,15,25
92,3,30,1,12,10,15,24
93,1,44,0,16,3,14,16
94,2,45,1,16,14,20,17
95,2,26,1,16,19,4,12
96,3,44,1,16,19,26,19
97,2,42,1,12,18,9,14
98,1,45,1,16,15,12,8
99,3,51,1,16,28,23,24
100,3,39,1,12,20,19,14
