"ID","Class","sex","age","final_education","X542690_00","X542700_00","X542710_00","X542720_00","X542730_00"
1,1,0,54,2,50.90518961485,55.7503516897131,36.4595088133764,39.6729710800847,42.5166099220087
2,3,1,54,3,38.8321925779248,53.2434064006528,41.5612033432285,35.6848268238614,38.6053465106582
3,2,0,49,2,52.244757047107,46.7127828572942,39.0669342927505,23.3264485818244,50.4786120054146
4,3,1,33,5,44.4569258683309,43.4822007719234,44.7565156392731,28.473462656273,45.4497900199238
5,3,0,44,2,28.8971876273594,37.3823447012149,43.680345664832,24.021688182774,48.2105889653476
6,1,0,42,4,54.7455106713385,54.3929653514427,64.5876617105564,54.4889004477781,81.5556818025026
7,2,0,52,2,53.3023031569246,41.9993316624861,66.7853560302717,34.6240291777348,37.2293596161594
8,3,0,41,4,47.9472639698184,30.035475962434,43.2713976509496,44.1051386751116,44.8398339609922
9,2,0,57,5,41.8498295739732,47.823943725473,43.0379322114639,53.6484154152276,46.3156460528189
10,2,0,41,5,53.9613327830263,59.9668097418515,42.4997336921259,38.2740267180105,68.636349695157
11,3,0,58,3,63.3857013695924,50.3573147165845,47.0249352836359,39.5549101571712,38.9356658482069
12,2,1,32,2,51.9623640317981,52.3720271195701,55.1316511821692,26.2403923254353,48.6970440584671
13,2,1,30,2,35.6441152962566,45.6208457847452,63.8034104060592,34.6319720023218,58.2584697575498
14,2,1,84,6,53.443545303081,45.9815425734702,54.1441018939793,42.5059336444455,41.1555041045676
15,1,0,40,3,57.4610361955361,47.6320731591177,35.0581287736797,47.6917821300254,73.6069339731621
16,3,1,49,4,41.3295436868173,40.4140151455046,53.9027886933983,32.1654169443101,55.6333865702167
17,1,0,53,1,35.0235366498472,47.4504017617433,74.2462417278187,69.1637309930412,41.9837272951661
18,1,0,39,4,62.6425082002821,54.7333382714377,74.2992152221239,40.8744887481685,61.2003558996351
19,1,1,51,6,47.9052238837548,41.3210919810767,53.5324413826652,47.5781920096703,55.4536214244362
20,3,0,49,2,42.0643972923172,49.5309290569022,33.4266814763492,42.8481268043817,50.0455164919377
21,3,1,42,1,61.4390060900453,48.4632198898071,84.4967259023833,38.765832287034,44.8102728328277
22,2,1,46,1,42.458550703946,35.56102112745,56.050936690247,36.207893516756,60.5756764045618
23,2,1,45,4,58.457315401893,50.1159359832043,56.8305849987326,51.4077509756697,36.3378957572633
24,3,1,71,5,39.5931712118122,65.3418132187561,60.0468902643778,53.5399079088648,43.2512163308449
25,2,0,36,2,44.6545759692602,39.1922761444671,35.6315265205706,39.7327542605515,46.8589025446906
26,2,0,32,5,46.6644398086352,49.8092339312646,46.2613706657045,45.0604061086276,41.0462140266353
27,2,0,45,2,38.3134857557564,38.7423852350448,36.5146911365199,39.1232875134763,38.1604945185719
28,2,1,49,1,44.4525173509109,54.4856913456224,49.6828646318729,51.1480969593195,48.6022173536567
29,1,1,50,5,55.7115844707169,52.7485977594125,64.4261931960547,36.5944934516613,55.5460735385759
30,1,1,39,5,60.5069596873393,62.3153231329853,46.6234865041571,67.8877420159503,28.9572294777452
31,3,1,32,4,27.8945345657489,28.3782341717047,62.0797921524078,33.568218769905,59.6463080129131
32,3,0,60,4,46.5024576078873,43.8396169109971,55.472128345808,23.8703552700572,50.9469830958371
33,2,0,41,5,56.7640643854548,40.1845985909952,44.1494196925523,36.8417395552624,78.5782811046316
34,3,0,35,4,39.6119084002241,38.9218810473896,54.7158993085728,38.320376357305,55.7371806185621
35,1,0,42,2,56.6729192167294,44.513370058512,68.9769739499261,59.6125908691221,49.6834476014181
36,2,1,43,2,54.5222857006443,38.02925135572,70.7331430391409,50.2008870909419,80.371302616539
37,3,1,58,6,52.2783501533168,48.5797789969316,52.4458206562417,40.2821258884121,80.9544862630706
38,1,0,46,4,61.7325767947138,41.4493542873846,58.8763584730675,32.4946482841066,42.794170020808
39,1,0,54,4,55.5729133902262,63.2222474524503,58.9594303802169,37.205660297951,61.3593515155097
40,1,1,39,5,49.6632348640788,39.61034731749,80.2975410726605,45.5304356099364,54.6762838950464
41,1,1,48,3,29.1685104797102,51.2586332111622,76.5008627073359,69.9772350211453,57.4575626120941
42,2,0,41,4,48.2705898152053,48.6639142946118,65.0128188130845,23.2579518320343,53.702970014257
43,2,0,46,1,54.5028469635999,49.843882712741,51.5519104019117,50.1794918666142,34.9190949084404
44,1,1,34,5,58.1539884086815,45.936026689069,67.4788972099969,42.2548916848947,60.1414853826682
45,1,1,29,2,46.2472164868675,48.2360159626272,67.8394839746483,61.9939180998868,73.8417209945598
46,1,0,69,3,77.5950290977515,61.2901132144774,47.4999204685281,34.7471942402394,53.5950099545172
47,1,0,52,4,59.2642441962882,39.3982726633886,39.2603458161511,46.2926091119647,54.407806182317
48,2,1,30,2,48.2631585845889,36.4960823077433,65.7019603318194,32.1040415246752,64.9842920697121
49,1,0,38,5,66.3226677946852,51.5132185145329,41.6482736258349,53.1316478372551,66.8823586475124
50,3,1,31,3,37.0153377868074,36.3417441733041,55.0202042618105,52.3540153986428,29.2665569978059
51,1,1,71,4,55.6966137607529,64.860031951768,66.00297385618,64.5564890576104,58.714126705884
52,2,1,61,1,77.1745248004976,52.7860309068387,64.7664086836706,49.1784059183057,66.9890195814551
53,3,1,42,5,46.5112918722089,42.127334019318,57.2731148501777,55.5893962912004,64.5680398491106
54,1,0,52,3,72.7356842140831,38.9879414597066,51.2057543244345,56.2178151779548,60.0194676419565
55,2,1,40,4,34.6149335508548,44.4588018026099,69.8363903187455,40.8131257935839,59.1334288782418
56,1,1,39,1,51.894831979571,46.5686730544241,83.863605202875,51.2933351445623,40.6337126659245
57,1,1,36,1,56.9842390363683,47.8312278918352,73.5741457071053,38.2520520967166,57.1014472356951
58,3,0,38,2,48.600385452058,31.4975261835545,28.6761891841123,35.3331804753911,36.101061712934
59,3,1,65,5,40.9436374048916,48.9892643506394,71.7949142248353,49.9886733751394,43.9618012509336
60,1,1,44,5,54.9925927462537,41.5383484775437,62.3273286457648,51.8715572913411,67.2916405215756
61,2,1,46,4,39.4257934688802,43.3402241484607,64.2989713518315,46.116215984628,38.6941757713974
62,1,0,48,4,62.7270332524428,53.5014066356108,67.4643988304527,35.6568206428152,59.1361007596036
63,1,0,60,2,68.8477508986064,45.9818736878956,58.8397671215195,39.559380926993,59.311652434187
64,1,1,39,4,31.5501230351259,53.7639312454405,62.0968416282153,40.1185458762179,56.8040316682359
65,3,1,33,2,56.9569346230014,29.6679167867865,67.2298848319708,42.5576628301215,66.6440770401896
66,2,1,65,2,41.5895550319151,25.5218025683157,66.5392230698349,33.085431325801,38.3541793856723
67,3,1,40,1,50.5476926898263,44.9697439262868,66.8831469525308,44.0583725108915,52.4674328757916
68,3,0,36,2,51.7990263814261,47.374318615688,80.5951203427639,26.9522522925981,45.6217637580427
69,3,1,30,3,42.0011017189857,37.4632366112689,62.972990364329,55.4567741232183,44.5308453178268
70,2,0,30,2,40.5488604314021,46.7830100367329,57.4885738886237,44.1453221453029,54.7050035723762
71,3,1,38,2,47.2532102124205,31.7026677993306,28.4724026730926,32.6909674897206,35.3755935024768
72,2,0,52,5,55.7881870071445,45.0328111453947,87.3005680389534,42.169413392511,37.5520399182975
73,2,0,58,2,61.433028199487,31.4178529916751,49.2078781384443,36.8279212069484,44.1607103696823
74,1,0,53,2,36.0766301609805,60.6494471315082,88.4968165811447,48.3403316378369,73.8693286473099
75,2,1,41,5,32.8362073194098,59.2792868923453,62.4957228160599,44.1917944688427,52.6134125207377
76,1,1,46,3,69.5040234118818,58.7420980822559,81.4611623867615,37.8729724460467,59.0457783805067
77,1,0,37,4,63.8662884711155,48.5812242686901,58.6834761458851,37.8781750906248,54.1116869855471
78,2,0,36,2,52.5528894890768,43.3833572617926,61.1376490563775,42.6963431626561,54.7754200514921
79,1,1,56,5,64.3517840711106,39.5214590147912,65.5674957557071,61.751467178764,46.5315250268114
80,1,0,33,5,61.77174917641,54.5230827511058,57.766551607518,54.7615530780383,69.737015132255
81,1,0,68,4,32.9907720153432,51.7641265544658,58.5552741045301,39.3788927374372,62.6317578626549
82,2,1,44,4,60.9027709663882,39.5960565971114,70.1540120301311,49.4333061148274,42.3290189503913
83,2,1,48,4,45.7501240343768,34.1537936587335,55.582502236342,41.5628848251934,51.8000857039319
84,3,0,36,1,47.506168306312,38.2519000268298,27.5478100667104,39.7118228654656,53.6796478144904
85,1,1,38,6,50.6484219911642,42.1575109198663,60.6493290140421,49.343253416629,63.9350408026006
86,2,1,29,3,55.5196495407874,39.4237558373773,64.4774872664353,65.1790478735105,66.7012741746457
87,3,1,43,5,43.1152755104439,31.9592000978912,62.3974685962173,28.332400704715,42.2571346961566
88,3,1,50,2,53.1850376588825,56.2507158635656,62.3988138097292,39.9082787311157,58.8775027703943
89,3,1,49,5,43.8931502136102,42.4719797823362,34.694781749571,22.9802044082915,60.4020281093534
90,1,0,36,2,42.2721279089849,57.2495606181791,64.4249046961343,50.3085233066288,52.8126855490686
91,1,0,36,2,65.3001051044026,27.8364026379388,71.6143105193648,54.8694762454926,43.8648063789593
92,2,1,39,3,56.2090001127427,40.4744173600413,73.3189441776119,55.0109601699104,38.4194029002703
93,1,0,63,5,75.8426223915645,47.2961416672634,57.3004647474706,27.6736927334659,62.0356565373947
94,2,1,31,2,47.851539325793,33.1165905650727,54.1372889658064,45.7149254747463,48.8176059290702
95,1,0,43,2,65.8500274582817,62.0728732337928,77.8540539825365,59.3403295624529,74.1701293353659
96,1,0,68,3,79.3541905401908,42.1277446418441,39.9848634506482,41.2738572326193,61.2865175654582
97,3,0,44,2,43.9851788496103,44.3971220832642,46.7580402770425,35.0906452112625,42.5086063732016
98,1,1,29,2,38.5704888724478,54.3714902846375,68.4895449522895,46.6711650001573,43.3190352665317
99,2,1,37,5,46.0064843286188,45.2255215073442,38.5867148154253,45.2851687628973,45.5935815793422
100,2,1,51,5,49.0595876001462,38.8979561800359,61.3555343491811,47.9864388817137,55.7717723218706
101,2,0,40,4,50.5168050450932,51.7793264537933,77.5343682526263,51.8603879534033,46.2397188823768
102,1,1,38,2,70.7230497731928,50.3147046547267,62.9512721587639,46.1406116859951,60.2565313225376
103,2,1,41,2,45.9385610749465,35.8920167489437,54.658551700437,43.7665024092522,45.9222814261324
104,3,0,46,1,50.9300465580492,31.0456076191835,57.6989405684087,59.3919808949932,44.6388410032608
105,2,0,64,5,51.5231593510447,64.5437394759452,51.6511339505523,43.8798903530349,43.9643935991139
106,3,0,44,3,47.0045070852503,36.4219748366525,61.7608044889488,38.6987779839685,68.3554794339958
107,3,0,58,5,52.7405766350626,29.1054267686557,62.8532255733963,24.919811872449,52.6588390461743
108,2,0,53,5,64.8821469603699,50.4660749020292,55.0322999347615,40.0257044286,54.536970045494
109,2,1,44,2,51.0131837749078,47.3318420484872,43.8796941070033,40.0080646214981,30.9895134362753
110,1,0,27,5,58.5284232003111,36.4693253142192,44.181351270491,44.9005875317156,64.2577108950426
111,3,1,39,3,53.5886002978353,25.5563486913444,47.8840316121362,33.8212412285595,36.1401405223232
112,1,1,39,5,62.9477327085563,48.1695798627312,72.568566006598,40.8186591280157,47.1932626821027
113,1,1,46,3,49.4560544781562,59.2651703336754,39.5015379041169,40.5130373136189,65.5017528812381
114,3,0,61,4,66.4688121419468,49.4889922814572,29.3640980952094,35.069459361402,43.2202928884095
115,2,1,73,5,51.7904326070599,45.2565006067042,50.1546421028788,54.3131938322576,32.767904919965
116,1,0,64,5,57.7421583235025,46.176494147325,64.732738175767,54.441779639034,76.4689452087829
117,2,1,43,2,63.6405026771417,46.8685340540044,47.0372074220201,38.7602239385125,23.4485238206823
118,3,0,24,2,55.7408390614558,40.1088267777293,62.6409884451527,21.8267519091513,52.9009268284554
