"N1","N2","N3","N4","N5","E1","E2","E3","E4","E5","O1","O2","O3","O4","O5","A1","A2","A3","A4","A5","A6","C1","C2","C3","C4","C5","ID","Neuroticism_Score","Extraversion_Score","Openness_Score","Agreeableness_Score","Conscientiousness_Score"
2,5,5,4,4,2,3,2,1,3,2,1,2,2,2,2,4,1,2,3,2,3,3,2,3,3,1,14,13,9,14,16
3,4,3,2,1,2,3,3,3,3,5,3,3,4,2,3,3,3,3,3,3,4,3,3,4,3,2,13,16,17,18,15
2,3,2,1,1,3,4,4,3,2,4,3,2,3,3,2,3,2,3,3,3,3,2,3,3,3,3,13,18,15,16,14
1,3,1,1,1,4,5,2,3,3,3,2,3,4,2,5,2,3,3,2,3,3,2,2,4,3,4,11,15,14,20,16
4,4,4,4,3,2,4,3,2,3,4,3,4,3,3,2,3,2,5,4,3,3,1,2,2,2,5,15,16,17,19,12
3,3,3,3,3,2,1,3,1,2,5,3,3,3,4,5,2,4,3,3,2,3,2,2,4,4,6,15,13,18,23,17
5,3,4,5,3,3,3,4,4,3,3,3,4,2,2,3,2,3,2,2,2,2,4,3,2,1,7,16,17,14,18,14
3,5,3,2,2,2,2,3,3,1,2,1,3,4,2,2,1,5,4,3,2,4,2,4,2,3,8,13,17,12,23,11
4,4,3,3,4,3,3,5,2,2,3,1,2,1,3,2,1,3,1,1,2,2,2,3,2,3,9,16,17,10,16,14
4,5,5,2,3,3,3,4,4,4,5,3,4,4,3,3,4,3,3,2,2,3,3,2,4,4,10,17,16,19,17,18
5,3,3,4,5,3,4,3,2,3,3,3,4,3,3,4,3,2,4,2,2,2,2,2,3,1,11,18,15,16,19,14
2,2,1,2,2,4,3,2,5,4,4,2,4,3,2,3,1,2,1,1,1,3,1,2,4,3,12,13,14,15,17,15
2,3,3,2,1,2,2,2,2,1,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,13,13,15,20,20,16
3,3,3,2,3,2,3,3,2,3,4,4,3,3,3,2,3,5,3,3,3,3,2,5,4,3,14,16,15,17,19,13
3,2,2,2,2,3,2,2,4,2,4,3,4,3,3,4,4,5,4,3,4,2,2,2,2,2,15,15,15,17,20,14
3,2,3,2,2,2,2,3,2,3,4,3,3,3,4,2,2,4,3,3,4,3,2,2,3,2,16,16,14,17,18,14
3,4,3,3,3,2,2,4,5,3,5,4,4,3,4,2,3,4,4,3,2,4,2,3,2,4,17,14,18,20,20,13
2,2,2,1,2,3,2,4,3,4,2,2,2,4,3,3,3,4,5,4,4,3,5,5,5,4,18,15,14,13,21,18
3,2,4,2,3,2,3,3,1,3,3,3,5,2,3,5,4,5,5,4,5,3,3,3,5,5,19,18,14,16,22,19
5,3,4,3,2,1,2,4,3,2,3,2,2,1,2,1,2,2,2,1,1,3,3,3,3,4,20,17,18,10,15,16
2,5,2,2,1,2,2,4,3,3,3,1,3,3,2,4,4,5,3,5,3,3,1,2,1,1,21,10,16,12,22,10
2,2,4,2,3,2,4,2,2,2,4,4,4,4,4,4,4,5,5,4,3,4,2,3,5,4,22,17,16,20,23,16
4,4,4,2,2,2,4,3,3,3,2,3,3,3,3,4,4,3,3,4,2,4,3,3,2,2,23,16,17,14,20,12
2,4,5,3,3,1,3,3,4,1,3,3,3,3,3,4,4,2,2,3,3,2,1,3,2,3,24,15,20,15,16,13
2,2,4,4,2,4,4,4,4,2,3,1,3,3,1,2,2,2,2,4,3,1,3,1,3,2,25,14,18,11,17,18
2,3,4,3,3,3,2,4,2,2,3,3,3,3,3,3,3,3,3,3,4,3,4,5,3,2,26,15,15,15,17,13
1,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,3,2,2,3,3,27,13,16,15,19,15
2,3,5,2,3,1,3,2,3,3,3,2,4,2,2,4,5,5,5,3,5,3,3,4,2,2,28,17,16,13,19,12
2,5,3,2,3,3,2,3,2,2,3,4,2,3,2,2,3,3,3,3,2,3,2,3,3,3,29,13,14,14,18,14
2,3,3,2,2,4,4,3,5,2,3,3,2,3,3,2,3,4,4,3,3,3,3,4,3,3,30,14,18,14,19,14
3,4,3,3,2,2,2,5,2,2,2,2,1,3,1,3,3,3,3,3,3,2,3,3,4,3,31,13,17,9,18,17
2,3,2,2,2,3,3,2,4,3,3,3,4,4,3,3,2,2,3,2,3,3,3,2,3,4,32,13,15,17,17,17
