"ID","N_Score_T1","E_Score_T1","O_Score_T1","A_Score_T1","C_Score_T1","N_Score_T2","E_Score_T2","O_Score_T2","A_Score_T2","C_Score_T2"
1,17,21,33,24,30,12,17,29,15,11
2,19,26,29,24,24,13,18,24,12,9
3,28,24,21,23,27,24,17,18,16,15
4,20,23,25,23,30,18,12,23,17,21
5,21,20,20,26,33,14,16,16,16,20
6,29,25,20,30,22,23,17,19,18,9
7,22,21,18,18,28,16,13,17,11,17
8,14,17,19,29,34,7,8,16,24,17
9,17,23,30,34,27,14,15,27,21,15
10,18,30,22,38,31,14,19,21,22,16
11,26,22,23,35,32,21,14,22,13,25
12,22,28,23,32,31,18,17,20,15,11
13,22,17,28,19,33,19,16,25,11,17
14,21,25,19,25,29,17,17,17,16,8
15,17,28,17,26,28,12,22,17,16,16
16,29,27,30,32,17,22,12,29,22,12
17,22,26,20,27,30,17,17,19,16,20
18,10,22,18,22,32,9,14,16,17,9
19,24,21,16,36,33,17,12,15,19,18
20,18,20,16,33,27,14,18,15,16,19
21,15,26,19,29,39,14,15,16,14,18
22,19,20,25,34,31,15,15,20,23,15
23,15,23,28,21,31,11,18,26,12,15
24,16,24,26,31,36,12,17,21,21,19
25,17,34,20,25,26,16,22,18,14,15
26,12,22,22,31,28,11,18,20,17,19
27,24,26,18,28,42,22,19,17,16,21
28,21,25,18,31,30,17,15,16,13,16
29,14,20,26,35,38,12,11,22,17,28
30,26,25,17,28,23,20,23,17,12,13
31,22,32,32,33,29,19,21,31,23,15
32,19,27,22,22,32,14,14,21,11,11
33,24,25,23,24,32,16,19,18,17,16
34,24,23,18,36,25,19,17,18,26,12
35,24,15,19,30,30,23,7,17,17,15
36,23,31,15,18,25,20,17,14,12,10
37,23,18,21,21,34,21,12,20,7,15
38,20,29,24,27,35,17,23,21,14,15
39,18,35,24,32,19,13,26,21,19,9
40,18,18,18,27,36,14,11,18,17,23
41,17,29,18,31,24,13,18,17,16,16
42,19,24,19,33,32,14,17,19,28,15
43,14,17,29,36,33,13,12,30,20,11
44,31,17,16,28,29,22,13,15,17,12
45,26,17,21,28,27,23,11,19,19,12
46,14,22,32,19,31,13,18,25,11,16
47,18,18,21,28,32,12,11,23,15,14
48,18,28,15,25,34,16,19,13,18,24
49,24,36,19,23,20,24,27,21,19,9
50,20,19,24,27,22,15,16,22,16,7
51,21,29,20,33,37,18,15,20,21,18
52,20,29,19,18,35,14,21,17,11,14
53,20,27,20,26,32,18,20,19,19,17
54,27,20,22,29,34,22,10,20,14,18
55,19,24,30,24,35,19,18,27,21,19
56,28,24,22,30,17,19,15,20,16,3
57,12,28,27,30,36,9,22,26,14,19
58,23,23,25,28,28,17,17,22,16,15
59,21,30,21,16,31,16,23,16,10,11
60,21,23,14,41,29,16,16,12,29,18
61,22,30,19,27,34,16,23,18,19,20
62,17,20,20,31,28,15,17,19,19,22
63,18,19,22,29,33,12,18,21,13,17
64,15,41,29,33,28,15,29,24,17,14
65,15,23,33,32,25,10,10,30,19,13
66,22,26,30,27,36,18,18,28,24,18
67,22,28,21,30,34,19,20,21,12,11
68,20,23,13,23,39,17,16,11,17,14
69,25,28,20,32,30,19,21,18,18,15
70,30,27,22,26,36,24,21,22,21,16
71,18,24,26,40,40,16,16,21,21,20
72,8,25,27,20,29,3,17,24,12,7
73,25,25,25,26,23,18,18,23,12,6
74,16,36,15,32,29,13,24,11,22,11
75,17,21,26,31,29,13,15,24,23,18
76,25,20,20,25,31,23,9,21,21,12
77,19,25,23,23,39,17,15,21,16,17
78,14,27,22,29,28,11,16,19,23,14
79,21,27,24,28,32,14,17,22,21,15
80,19,23,22,19,29,15,14,19,11,15
81,20,20,14,28,30,15,15,14,18,23
82,22,31,26,29,32,17,24,25,14,12
83,18,23,24,29,37,12,14,22,17,17
84,23,21,21,23,31,19,12,17,17,14
85,19,24,23,30,34,13,14,19,20,22
86,22,24,23,35,34,17,16,20,22,14
87,25,31,23,30,35,21,21,22,15,17
88,22,25,30,22,27,16,19,24,11,16
89,18,29,21,26,38,16,19,16,13,15
90,26,23,23,30,28,18,11,20,19,20
91,25,26,28,25,29,14,18,26,12,17
92,23,23,27,17,37,19,19,23,12,15
93,21,25,28,32,36,18,20,27,16,20
94,17,21,19,24,25,13,13,18,20,12
95,27,18,32,25,26,23,9,29,16,14
96,17,35,22,36,23,11,31,21,19,11
97,31,28,31,24,31,25,19,28,15,19
98,28,19,15,32,31,19,13,13,18,11
99,19,22,22,22,32,18,16,20,14,14
100,15,19,28,26,33,16,9,26,16,16
