"id","age","sex","final_education"
1,34,0,5
2,38,1,4
3,56,0,5
4,41,1,5
5,41,1,5
6,57,1,6
7,45,0,5
8,27,1,6
9,33,1,5
10,36,0,5
11,52,1,4
12,44,0,5
13,44,1,5
14,41,1,2
15,34,1,5
16,58,1,4
17,45,0,6
18,20,1,4
19,47,1,2
20,35,1,5
21,29,1,2
22,38,0,6
23,30,1,4
24,33,1,5
25,34,0,5
26,23,0,5
27,48,1,5
28,42,1,6
29,29,1,5
30,53,0,5
31,44,0,4
32,37,1,6
33,49,1,5
34,49,0,4
35,48,1,5
36,47,0,5
37,46,1,2
38,39,1,4
39,37,1,6
40,36,1,5
41,33,1,5
42,38,1,4
43,27,0,6
44,62,1,5
45,52,0,5
46,29,0,4
47,36,0,4
48,35,1,5
49,48,1,5
50,39,0,4
51,43,1,4
52,40,1,2
53,40,1,5
54,54,1,5
55,38,1,4
56,55,0,6
57,25,0,2
58,46,0,5
59,41,1,5
60,42,1,5
61,44,0,6
62,35,1,6
63,37,1,5
64,30,1,4
65,29,1,5
66,43,1,5
67,44,1,2
68,41,0,5
69,49,1,4
70,61,0,5
71,35,1,5
72,17,0,5
73,50,1,5
74,33,0,5
75,33,0,5
76,50,1,5
77,37,0,6
78,28,1,5
79,42,1,5
80,39,0,5
81,40,1,4
82,44,0,4
83,36,1,6
84,46,0,6
85,38,0,2
86,43,1,5
87,51,1,5
88,44,0,5
89,37,1,5
90,51,0,5
91,50,0,5
92,45,1,4
93,42,1,5
94,34,0,5
95,54,1,5
96,34,0,5
97,62,1,5
98,55,1,5
99,38,0,5
100,30,0,5
101,33,1,6
102,43,1,5
103,38,1,5
104,37,1,6
105,30,1,5
106,40,1,4
107,32,1,5
108,23,1,5
109,36,0,5
110,49,1,5
111,34,1,4
112,46,1,5
113,24,0,4
114,39,1,4
115,45,0,5
116,43,1,5
117,41,1,5
118,34,0,5
119,32,1,2
120,30,0,5
121,41,1,5
122,31,1,4
123,35,1,4
124,37,1,6
125,58,1,4
126,33,0,4
127,42,0,6
128,41,1,4
129,30,0,4
130,39,1,5
131,54,0,5
132,45,0,6
133,40,1,4
134,36,0,2
135,19,1,5
136,51,0,5
137,25,1,6
138,47,0,2
139,59,1,5
140,26,1,5
141,47,0,2
142,37,1,5
143,24,0,5
144,25,1,5
145,24,0,5
146,35,0,5
147,25,1,4
148,47,0,5
149,61,0,4
150,27,1,2
151,48,1,5
152,48,1,5
153,43,1,5
154,30,0,5
155,39,1,5
156,37,1,5
157,46,0,5
158,36,1,6
159,50,1,5
160,36,1,5
161,51,1,5
162,30,0,5
163,27,0,5
164,72,1,5
165,36,0,5
166,43,0,5
167,46,1,5
168,35,0,5
169,45,1,4
170,44,0,4
171,38,1,2
172,41,0,6
173,40,1,4
174,61,1,6
175,33,0,5
176,29,0,5
177,40,1,5
178,43,1,5
179,44,1,4
180,35,1,6
181,29,0,5
182,53,0,6
183,37,0,5
184,31,1,4
185,38,0,6
186,38,1,5
187,51,1,5
188,41,0,5
189,48,0,5
190,35,1,2
191,42,1,2
192,37,1,5
193,41,0,5
194,31,1,5
195,27,1,6
196,60,0,5
197,46,1,5
198,27,1,5
199,34,0,5
200,28,1,5
