"Item_001","Item_002","Item_003","Item_004","Item_005","Item_006","Item_007","Item_008","Item_009","Item_010","Item_011","Item_012","Item_013","Item_014","Item_015","Item_016","Item_017","Item_018","Item_019","Item_020","Item_021","Item_022","Item_023","Item_024","Item_025","Item_026","Item_027","Item_028","Item_029","Item_030","Item_031","Item_032","Item_033","Item_034","Item_035","Item_036","Item_037","Item_038","Item_039","Item_040","Item_041","Item_042","Item_043","Item_044","Item_045","Item_046","Item_047","Item_048","Item_049","Item_050","Item_051","Item_052","Item_053","Item_054","Item_055","Item_056","Item_057","Item_058","Item_059","Item_060","Item_061","Item_062","Item_063","Item_064","Item_065","Item_066","Item_067","Item_068","Item_069","Item_070","Item_071","Item_072","Item_073","Item_074","Item_075","Item_076","Item_077","Item_078","Item_079","Item_080","Item_081","Item_082","Item_083","Item_084","Item_085","Item_086","Item_087","Item_088","Item_089","Item_090","Item_091","Item_092","Item_093","Item_094","Item_095","Item_096","Item_097","Item_098","Item_099","Item_100","Item_101","Item_102","Item_103","Item_104","Item_105","Item_106","Item_107","Item_108","Item_109","Item_110","Item_111","Item_112","Item_113","Item_114","Item_115","Item_116","Item_117","Item_118","Item_119","Item_120","Item_121","Item_122","Item_123","Item_124","Item_125","Item_126","Item_127","Item_128","Item_129","Item_130","Item_131","Item_132","Item_133","Item_134","Item_135","Item_136","Item_137","Item_138","Item_139","Item_140","Item_141","Item_142","Item_143","Item_144","Item_145","Item_146","Item_147","Item_148","Item_149","Item_150","Item_151","Item_152","Item_153","Item_154","Item_155","Item_156","Item_157","Item_158","Item_159","Item_160","Item_161","Item_162","Item_163","Item_164","Item_165","Item_166","Item_167","Item_168","Item_169","Item_170","Item_171","Item_172","Item_173","Item_174","Item_175","Item_176","Item_177","Item_178","Item_179","Item_180","Item_181","Item_182","Item_183","Item_184","Item_185","Item_186","Item_187","Item_188","Item_189","Item_190","Item_191","Item_192","Item_193","Item_194","Item_195","Item_196","Item_197","Item_198","Item_199","Item_200","Item_201","Item_202","Item_203","Item_204","Item_205","Item_206","Item_207","Item_208","Item_209","Item_210","Item_211","Item_212","Item_213","Item_214","Item_215","Item_216","Item_217","Item_218","Item_219","Item_220","Item_221","Item_222","Item_223","Item_224","Item_225","Item_226","Item_227","Item_228","Item_229","Item_230","Item_231","Item_232","Item_233","Item_234","Item_235","Item_236","Item_237","Item_238","Item_239","Item_240","Item_241","Item_242","Item_243","Item_244","Item_245","Item_246","Item_247","Item_248","Item_249","Item_250","Item_251","Item_252","Item_253","Item_254","Item_255","Item_256","Item_257","Item_258","Item_259","Item_260","Item_261","Item_262","Item_263","Item_264","Item_265","Item_266","Item_267","Item_268","Item_269","Item_270","Item_271","Item_272","Item_273","Item_274","Item_275","Item_276","Item_277","Item_278","Item_279","Item_280","Item_281","Item_282","Item_283","Item_284","Item_285","Item_286"
46,43,66,32,54,46,43,64,33,55,47,43,62,34,56,48,43,62,34,56,48,43,66,32,57,48,42,64,34,56,49,46,60,32,55,46,42,65,34,53,50,43,64,33,53,50,44,65,34,55,47,42,65,32,56,49,43,62,32,54,50,46,65,34,56,47,43,65,34,52,47,42,62,33,55,46,42,66,34,56,50,43,60,33,52,48,46,60,33,53,46,42,66,33,52,50,45,64,31,52,47,46,64,34,56,49,43,66,32,53,50,42,62,32,54,49,45,60,32,51,50,43,62,31,52,46,42,63,34,56,48,45,66,32,52,47,44,64,32,53,46,45,60,35,52,46,43,61,33,56,50,43,61,33,56,48,45,64,34,54,48,44,63,33,52,46,43,63,34,52,50,46,61,32,56,49,44,60,34,54,49,44,61,34,56,47,44,61,34,53,47,43,60,34,54,49,46,66,34,52,50,46,60,34,56,46,42,62,32,52,46,46,64,33,56,49,46,64,34,54,48,45,60,32,56,49,42,63,31,55,48,44,66,32,57,50,44,61,32,56,48,46,63,31,52,47,44,61,35,55,50,44,61,32,57,47,44,64,34,53,47,46,61,32,56,49,42,64,32,53,48,42,61,32,55,47,46,65,32,52,49,43,63,31,55,49
55,68,58,50,51,55,68,59,52,54,56,66,62,50,50,52,70,59,51,50,56,69,62,50,49,53,67,60,51,54,57,68,64,50,50,55,69,64,50,53,53,69,62,50,54,55,72,61,54,51,55,66,62,54,54,56,70,59,54,52,52,68,60,50,53,53,69,62,54,51,55,66,63,52,54,55,70,59,52,51,52,68,62,52,51,56,66,63,53,50,56,72,61,53,51,53,72,63,54,51,53,70,59,52,54,52,71,62,53,50,56,72,62,54,50,54,72,59,53,54,56,71,61,53,53,53,72,61,50,50,54,67,60,53,50,51,66,64,50,52,54,71,62,53,50,56,70,64,50,50,56,68,59,54,51,54,69,64,55,51,51,72,60,53,53,51,67,59,53,54,55,66,62,54,51,55,71,61,52,51,53,71,63,53,52,53,68,60,53,51,55,66,60,50,54,55,69,62,51,54,53,66,60,50,52,56,72,61,50,53,56,71,62,53,50,52,70,63,55,54,55,67,61,52,51,55,67,62,54,53,54,71,61,52,52,52,68,60,50,54,52,71,64,53,50,53,69,61,54,55,55,70,58,52,53,55,69,61,53,52,55,72,62,52,51,52,68,59,53,52,56,67,60,52,52,55,70,63,53,54,57,68,63,52,54,54
60,48,32,61,46,57,49,32,60,47,61,48,31,60,47,57,48,31,64,46,62,46,32,64,50,59,49,32,61,47,58,49,30,63,47,59,48,31,60,49,58,50,31,61,50,62,47,32,61,49,58,50,31,64,49,60,47,32,60,47,57,46,31,62,49,60,46,31,62,48,59,48,32,62,48,58,49,31,60,49,59,48,32,64,48,61,47,32,61,47,60,50,31,61,47,57,46,31,62,48,58,50,32,65,48,60,46,32,63,50,56,46,30,64,46,62,48,31,63,46,60,47,30,64,48,61,49,30,61,47,61,46,30,63,50,62,47,31,65,47,61,46,31,65,46,58,49,31,63,46,59,46,31,61,49,60,49,31,64,47,60,49,32,61,49,61,48,30,64,49,60,48,32,60,47,56,49,32,63,49,59,48,31,64,49,57,46,31,65,47,60,50,30,61,48,59,50,30,65,49,62,50,30,64,50,61,49,30,62,47,61,48,31,62,48,61,48,32,61,49,61,47,32,60,46,60,47,30,60,47,57,46,30,62,48,60,50,32,65,46,60,48,32,61,50,61,48,31,59,49,61,48,32,63,50,57,47,32,61,48,61,46,32,62,49,61,48,31,63,48,60,48,30,64,50,61,47,30,61,49,60,46,30,63,46,58
61,66,45,50,49,59,66,45,50,48,62,66,47,52,49,61,67,46,53,49,60,66,44,52,47,59,66,46,51,50,62,62,46,52,48,58,65,44,50,47,59,63,46,49,47,59,64,48,53,49,59,62,46,51,50,60,65,48,49,51,57,63,44,52,47,57,63,44,53,47,57,66,47,52,51,59,62,46,51,49,61,63,47,50,47,58,64,45,51,48,60,62,46,52,49,60,66,45,52,51,57,63,44,54,50,58,65,48,50,48,60,64,44,49,47,56,67,47,50,49,59,66,47,52,49,61,62,46,52,48,59,62,46,52,50,58,64,47,51,47,57,61,45,50,49,56,66,46,52,48,60,65,47,52,51,61,63,47,53,49,61,64,46,51,50,58,64,48,51,50,60,64,46,50,48,59,63,46,53,47,57,65,45,52,51,62,66,47,50,50,59,62,45,50,49,59,66,47,50,51,60,62,46,50,50,57,65,46,50,49,59,65,44,51,51,57,66,46,49,51,57,66,47,49,50,57,66,44,51,51,60,62,48,50,49,58,63,46,50,47,60,65,47,52,47,62,63,45,53,48,60,64,48,50,48,61,66,46,51,47,60,61,44,52,50,59,67,45,52,51,58,62,44,49,51,61,62,48,53,48,59,63,48,49,51,60
44,53,54,53,42,42,49,54,52,44,43,52,56,53,44,44,51,54,56,42,42,50,59,56,43,43,52,59,52,45,42,49,59,52,42,42,49,58,52,43,42,52,56,53,44,41,53,56,56,43,42,51,58,56,44,44,53,55,54,44,41,49,57,53,44,41,49,59,52,42,43,51,59,54,43,42,50,55,51,44,43,51,59,54,41,41,52,55,54,41,42,53,55,56,43,44,50,56,54,44,43,51,55,53,42,44,52,57,52,43,43,49,57,54,44,44,49,55,54,45,44,49,56,52,42,44,50,58,56,41,41,50,55,54,41,41,49,56,53,42,43,50,55,54,43,43,49,55,56,44,41,51,55,56,42,42,49,56,54,42,44,51,58,55,42,42,50,55,56,43,42,51,59,56,41,42,54,57,56,43,44,52,59,54,44,42,49,54,52,45,42,51,56,53,44,43,49,54,54,41,41,53,55,54,44,42,51,56,52,43,42,51,58,54,43,43,49,59,53,41,43,53,59,53,42,44,50,54,57,43,45,49,55,52,43,44,49,59,53,42,45,50,59,56,41,41,53,59,53,45,43,49,56,52,43,44,50,59,56,44,43,51,56,53,44,45,53,55,52,43,42,53,57,56,42,45,51,55,56,45,43,49,56,56,43,41
46,49,47,47,51,46,48,49,47,47,48,45,49,46,47,49,45,48,47,50,49,45,46,46,48,46,47,50,45,48,46,49,46,44,47,50,46,49,45,48,50,49,46,44,48,47,48,49,43,50,49,47,48,47,47,48,45,48,43,50,48,49,47,45,49,48,49,46,46,48,47,46,46,47,49,49,49,48,47,48,46,47,47,44,49,48,45,46,43,48,50,49,50,47,50,47,45,47,47,48,47,48,48,45,47,50,45,46,43,49,49,46,49,43,49,50,49,48,47,49,48,45,49,44,50,50,46,49,46,47,49,45,48,43,47,46,46,50,46,51,46,47,48,43,48,48,48,50,45,50,50,45,50,43,50,47,48,47,45,50,48,48,46,45,51,49,47,50,44,50,49,47,46,47,47,48,48,49,44,51,50,49,47,43,49,47,47,48,43,48,48,49,49,44,51,48,48,48,46,51,49,47,47,45,49,46,49,48,45,49,50,46,50,47,48,48,48,47,46,50,47,48,48,44,51,50,48,48,45,49,48,49,46,46,50,47,45,49,45,49,49,48,50,46,49,50,45,50,47,51,48,45,49,47,47,47,46,47,47,47,48,46,46,46,51,50,47,47,44,50,46,47,48,45,50,50,45,46,43,51,47,46,47,44,49,46
58,54,52,43,67,57,51,52,42,63,59,52,49,42,66,61,51,49,43,66,57,54,50,42,68,62,52,51,43,64,56,53,52,39,66,62,54,52,40,67,56,51,51,41,66,60,55,51,41,68,56,51,51,40,67,62,56,48,42,69,62,55,48,40,69,57,51,48,41,65,60,54,50,40,67,60,52,50,41,65,56,51,50,39,68,58,53,52,43,66,57,51,48,42,68,61,52,52,40,65,57,53,50,42,67,61,54,49,43,63,60,51,51,40,66,58,55,50,39,66,62,53,49,41,67,60,54,52,40,68,56,50,49,41,63,61,55,49,43,65,61,54,51,40,64,60,54,52,39,66,58,55,50,42,64,60,54,48,42,64,61,51,48,42,69,60,51,51,41,65,61,54,52,39,66,57,55,52,39,68,56,52,49,42,63,57,55,48,41,67,61,51,48,43,67,59,52,49,43,68,62,53,49,42,65,60,52,51,40,66,57,55,51,41,67,58,54,48,42,68,59,54,48,42,63,57,51,49,41,63,62,52,50,43,66,62,55,48,41,66,59,54,52,43,65,61,51,49,40,66,60,53,48,42,66,59,55,52,40,66,61,52,50,42,64,60,56,49,42,67,61,51,51,40,68,61,51,49,42,67,59,54,48,41,64,61
60,44,34,50,25,59,41,36,51,26,59,40,37,49,25,61,41,35,47,25,61,44,37,51,27,59,42,36,47,27,62,43,36,47,26,59,42,34,47,25,58,41,36,50,25,61,41,35,49,26,57,43,36,47,27,58,43,36,48,27,58,40,38,49,26,60,43,36,48,27,57,40,36,48,25,59,43,35,47,25,61,41,35,51,26,61,44,37,51,26,57,40,35,49,26,59,44,37,47,26,62,44,37,49,25,61,42,37,49,26,57,41,36,47,25,56,43,38,49,26,58,44,37,51,27,58,43,35,47,26,57,42,38,51,27,61,43,38,50,25,62,41,37,49,25,57,44,35,48,25,56,43,37,51,27,58,41,36,50,26,58,42,37,50,26,60,41,35,49,26,57,41,37,48,26,59,42,36,50,26,59,44,36,48,25,59,42,35,47,25,58,44,36,47,26,57,41,38,51,25,61,43,36,50,26,58,41,35,51,25,60,42,35,48,25,56,41,35,51,25,59,43,36,48,25,57,41,37,50,26,62,42,36,47,26,59,41,38,51,26,61,40,35,51,27,61,42,36,51,26,61,42,34,48,25,57,44,35,47,25,60,40,35,47,26,61,40,35,50,26,59,43,37,51,26,59,41,36,47,26,60,42,34,50,26,56
53,62,38,44,48,53,64,38,43,48,52,61,36,40,49,53,59,37,43,47,53,60,38,40,45,56,63,38,42,48,53,60,37,40,45,54,59,37,44,49,56,59,36,41,45,55,63,37,41,46,56,61,38,41,47,53,62,39,42,48,52,62,36,40,48,56,63,37,42,48,51,59,38,42,45,54,62,37,41,47,54,58,38,43,47,56,61,37,43,48,53,60,38,42,48,56,61,36,42,45,52,58,37,42,47,52,63,37,43,45,54,60,38,43,47,56,60,37,43,46,56,64,37,43,45,56,61,37,42,46,57,61,36,43,48,54,61,36,41,47,53,60,38,40,46,51,64,38,43,46,56,59,37,42,46,54,58,37,42,47,53,63,37,40,47,56,59,36,42,47,54,63,37,42,46,54,62,37,43,47,56,59,36,44,48,52,59,36,43,45,55,60,37,40,46,52,64,37,44,49,56,63,38,40,48,57,59,37,42,49,55,62,36,42,46,56,59,38,40,47,54,64,39,43,49,53,62,36,43,46,53,62,36,41,47,54,61,38,42,47,56,63,37,41,46,54,58,35,41,45,51,64,37,40,46,56,60,38,43,49,54,61,36,42,49,55,63,36,40,46,53,59,38,42,48,55,58,37,42,47,52,59,36,43,48,55
48,38,51,40,37,47,39,51,40,40,48,38,54,40,41,50,39,53,39,40,48,37,52,37,40,47,38,52,41,40,51,39,52,39,39,47,41,53,39,40,51,40,52,38,38,48,40,53,39,39,48,41,51,41,40,51,38,56,38,39,51,38,54,39,41,51,38,53,39,40,49,39,53,38,40,50,41,54,39,39,49,40,53,38,40,47,38,54,40,38,47,38,54,38,39,48,39,51,39,39,48,38,51,38,40,48,37,55,38,38,48,39,55,37,40,51,38,53,39,39,51,39,53,39,38,50,38,54,40,40,48,40,54,39,39,47,39,54,40,38,47,39,54,41,40,47,38,53,40,37,47,39,53,38,39,49,41,52,39,38,51,41,54,39,37,47,39,54,37,38,48,38,53,38,38,47,41,52,38,41,51,39,54,38,40,48,38,51,38,39,50,37,53,40,40,49,40,52,37,40,50,37,54,38,37,49,38,53,41,41,50,37,55,39,39,49,38,51,40,39,50,39,52,38,39,51,39,53,40,38,51,39,54,37,39,48,39,53,37,40,47,39,52,38,41,47,37,52,38,40,47,38,54,37,37,51,38,52,37,40,47,38,52,38,38,47,39,54,38,39,49,39,51,39,40,50,38,53,40,39,50,38,54,40,41,48
